# Eigenvalue spectrum on chroma cfg cl3_16_48_b6p1_m0p2450_a_cfg_11100.lime
# Lanczos params (identical for both Nf): Cheby lo=0.05 hi=120 ord=31, NEV=5, NM=40.
# Σ_auto = 1.536. plaq = 0.5138.
# Generated 2026-04-30.
#
# Format: action  λ_max  λ_min  |γ5M|_min  κ
#
# Nf=3 (full TXQCD with diag mass {m_l, m_l, m_s} on 36-dim flavor space):
QCD         57.9387801  0.00269707407  0.0519333619  21482.0871
TXQCD-λ=3     96.6100018  0.000381466945  0.0195311788  253259.17
TXQCD-λ=3.5   83.4188338  0.000295055043  0.0171771663  282722.956
TXQCD-λ=4     77.5865865  0.000317948615  0.0178311137  244022.407
TXQCD-λ=6     62.3914902  0.000505896841  0.0224921507  123328.483
TXQCD-λ=12    58.9597689  0.00265611778  0.0515375376  22197.7238
TXQCD-λ=18    58.3794555  0.00287501798  0.0536191941  20305.7706
#
# Nf=2 (Nf=2+1 light pair, 24-dim flavor; strange decoupled in separate Nf=1 wrap):
QCD         57.9387801  0.00269707407  0.0519333619  21482.0871
TXQCD-λ=3     90.481856  0.000297936031  0.0172608236  303695.581
TXQCD-λ=3.5   77.9291785  0.000319961329  0.0178874629  243558.116
TXQCD-λ=4     72.7255907  0.000291840402  0.017083337  249196.445
TXQCD-λ=6     61.7582453  0.000791353932  0.0281310137  78041.244
TXQCD-λ=12    58.8348591  0.00132206032  0.0363601475  44502.4013
TXQCD-λ=18    58.3304884  0.00210476007  0.0458776642  27713.6046
